ModelID,Scenario,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed,SummaryStat,plotGraphs,Parallel
1,"No selection, Partly-Parametric",CER,162,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Partly-Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,50000,1000,1234,TRUE,FALSE,TRUE
2,"No selection, Partly-Parametric",CER,162,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Partly-Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,50000,1000,1234,TRUE,FALSE,TRUE
3,"Select Best=1, Partly-Parametric",CER,162,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Partly-Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,50000,1000,1234,TRUE,FALSE,TRUE
4,"Select Best=1, Partly-Parametric",CER,162,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Partly-Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,50000,1000,1234,TRUE,FALSE,TRUE
5,"No selection, Parametric",CER,162,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,50000,1000,1234,TRUE,FALSE,TRUE
6,"No selection, Parametric",CER,162,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,50000,1000,1234,TRUE,FALSE,TRUE
7,"Select Best=1, Parametric",CER,162,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,50000,1000,1234,TRUE,FALSE,TRUE
8,"Select Best=1, Parametric",CER,162,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.1, 0.1, 0.1))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.75,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,50000,1000,1234,TRUE,FALSE,TRUE
