Sim_Index,Return_Code,Prop_0_Endpoint1,Prop_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Prop_0_Endpoint3,Prop_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
25,0,0.1,0.3,0.2,0.08,2.5,0.00620966532577616,0.14,0.42,0.28,0.0897997772825746,3.11804782231162,0.000910266304662621,0.3,0.44,0.14,0.0965608616365865,1.44986278733613,0.0735483931523607,0.0124193306515523,0.00273079891398787,0.0735483931523608,0.0735483931523608,50,50,100,1,1,0,1,1,1,0,0,1
26,0,0.08,0.28,0.2,0.0768374908491942,2.60289603147677,0.00462199909738092,0.18,0.3,0.12,0.0854166260162505,1.40487871737254,0.0800286731159724,0.26,0.44,0.18,0.0953939201416946,1.88691270609945,0.0295860339129297,0.0138659972921428,0.0800286731159725,0.0591720678258594,0.0800286731159725,50,50,100,1,0,0,1,1,1,0,0,1
27,0,0.08,0.26,0.18,0.0751265598839718,2.39595690629251,0.00828851957445276,0.16,0.46,0.3,0.0924986486387774,3.24329062548308,0.000590788092563188,0.28,0.42,0.14,0.0953939201416946,1.46759877141069,0.0711066209681963,0.0165770391489055,0.00177236427768957,0.0711066209681964,0.0711066209681964,50,50,100,1,1,0,1,1,1,0,0,1
28,0,0.06,0.24,0.18,0.0714142842854285,2.52050415125042,0.00585934279988432,0.2,0.42,0.22,0.0924986486387774,2.37841312535426,0.00869366674124172,0.24,0.44,0.2,0.0947417542586161,2.11100165460375,0.0173860848219682,0.017578028399653,0.017578028399653,0.017578028399653,0.017578028399653,50,50,100,1,1,1,1,1,1,0,0,1
29,0,0.08,0.4,0.32,0.0854166260162505,3.74634324632678,8.971551875625E-05,0.2,0.44,0.24,0.0932952303175248,2.57247877713763,0.00504865732375359,0.32,0.5,0.18,0.0983666610188635,1.82988827856505,0.0336333232676759,0.000269146556268751,0.0100973146475072,0.0336333232676759,0.0336333232676759,50,50,100,1,1,0,1,1,1,0,0,1
30,0,0.14,0.36,0.22,0.0866025403784439,2.54034118443435,0.00553721883807834,0.26,0.46,0.2,0.096,2.08333333333333,0.0186104251898863,0.34,0.5,0.16,0.0987117014340245,1.62088179694622,0.0525214957326628,0.016611656514235,0.0372208503797727,0.0525214957326629,0.0525214957326629,50,50,100,1,0,0,1,1,1,0,0,1
31,0,0.08,0.36,0.28,0.0828492607088319,3.37963184709687,0.000362914920031154,0.1,0.44,0.34,0.0887918915216925,3.82917847759709,6.4285870043146E-05,0.24,0.54,0.3,0.0975499871860576,3.07534638039274,0.00105129105533441,0.000725829840062309,0.000192857610129438,0.00105129105533441,0.00105129105533441,50,50,100,1,1,1,1,1,1,0,0,1
32,0,0.1,0.22,0.12,0.0733212111192934,1.63663417676994,0.0508534650155467,0.14,0.42,0.28,0.0897997772825746,3.11804782231162,0.000910266304662621,0.28,0.46,0.18,0.0965608616365865,1.8641092980036,0.0311531785390504,0.0623063570781009,0.00273079891398787,0.0623063570781009,0.0623063570781009,50,50,100,0,1,0,1,1,1,0,0,1
33,0,0.12,0.36,0.24,0.0854166260162505,2.80975743474508,0.00247894254063541,0.08,0.48,0.4,0.0897997772825746,4.45435403187374,4.207307667925E-06,0.28,0.58,0.3,0.0990151503558925,3.02983936217541,0.00122341920732705,0.00247894254063541,1.2621923003775E-05,0.0024468384146541,0.00247894254063541,50,50,100,1,1,1,1,1,1,0,0,1
34,0,0.08,0.3,0.22,0.0784601809837321,2.8039700806402,0.00252387944939281,0.16,0.5,0.34,0.09404254356407,3.61538498550246,0.000149950801395127,0.22,0.48,0.26,0.0953939201416946,2.72554057547699,0.00320981427071687,0.00504775889878562,0.000449852404185381,0.00504775889878562,0.00504775889878562,50,50,100,1,1,1,1,1,1,0,0,1
35,0,0.1,0.2,0.1,0.0714142842854285,1.40028008402801,0.0807147311835417,0.26,0.24,-0.02,0.0866025403784439,-0.230940107675851,0.591319334307412,0.48,0.52,0.04,0.1,0.4,0.344578258389676,0.242144193550625,0.689156516779352,0.689156516779352,0.689156516779352,50,50,100,0,0,0,1,1,1,0,0,0
36,0,0.1,0.46,0.36,0.0897997772825746,4.00891862868637,3.0498714448268E-05,0.22,0.52,0.3,0.0965608616365865,3.106848830006,0.000945465339144413,0.28,0.56,0.28,0.0987117014340245,2.83654314465588,0.00228024081090006,9.1496143344805E-05,0.00189093067828883,0.00228024081090006,0.00228024081090006,50,50,100,1,1,1,1,1,1,0,0,1
37,0,0.12,0.32,0.2,0.0828492607088319,2.41402274792634,0.00788873864558892,0.26,0.44,0.18,0.0953939201416946,1.88691270609945,0.0295860339129297,0.4,0.56,0.16,0.0999199679743744,1.60128153805087,0.0546572881043331,0.0236662159367668,0.0591720678258594,0.0591720678258594,0.0591720678258594,50,50,100,1,0,0,1,1,1,0,0,1
38,0,0.14,0.4,0.26,0.0887918915216925,2.92819530639777,0.00170467905421468,0.16,0.4,0.24,0.0897997772825746,2.67261241912424,0.00376315758322898,0.3,0.42,0.12,0.096,1.25,0.105649773666855,0.00511403716264403,0.00752631516645797,0.105649773666855,0.105649773666855,50,50,100,1,1,0,1,1,1,0,0,1
39,0,0.06,0.14,0.08,0.06,1.33333333333333,0.0912112197258679,0.16,0.42,0.26,0.0907524104363074,2.86493767768819,0.00208545660313553,0.32,0.52,0.2,0.0987117014340245,2.02610224618277,0.0213771539887607,0.091211219725868,0.00625636980940659,0.0427543079775215,0.091211219725868,50,50,100,0,1,0,1,1,1,0,0,1
40,0,0.08,0.44,0.36,0.0877268487978452,4.10364677328798,2.0334412043632E-05,0.12,0.38,0.26,0.0866025403784439,3.00222139978605,0.00134008586403422,0.3,0.46,0.16,0.0970772887960928,1.64817128686066,0.0496587635690655,6.1003236130897E-05,0.00268017172806845,0.0496587635690656,0.0496587635690656,50,50,100,1,1,0,1,1,1,0,0,1
41,0,0.12,0.28,0.16,0.08,2,0.0227501319481792,0.18,0.4,0.22,0.0907524104363074,2.42417803496693,0.0076715407924367,0.26,0.5,0.24,0.0970772887960928,2.47225693029099,0.00671314914666343,0.0227501319481792,0.0201394474399903,0.0201394474399903,0.0227501319481792,50,50,100,1,1,1,1,1,1,0,0,1
