"SimID","LookID","Delta1","Delta2","Delta3","StdError1","StdError2","StdError3","TestStat1","TestStat2","TestStat3","RawPvalues1","RawPvalues2","RawPvalues3","RejStatus1","RejStatus2","RejStatus3"
1,1,0.0297861129114367,0.178722373235613,0.557351830983245,0.204553616149936,0.206004207383168,0.200517198297998,0.145615186238525,0.867566616749671,2.779571207428,0.442112589444767,0.192815814184728,0.00272153592301949,FALSE,FALSE,TRUE
2,1,0.207872703254801,0.154373944551442,0.171146566911078,0.197674713105265,0.190915144353082,0.19481933326738,1.05158975566139,0.808599784341574,0.878488618355899,0.146493904943269,0.209372694439326,0.189839305816629,FALSE,FALSE,FALSE
3,1,0.319289950921037,0.638802211345949,0.397280729985252,0.198212958878953,0.176473421818994,0.200121173394279,1.61084296771951,3.61982107425308,1.9852008822801,0.0536069766263388,0.000147403399712087,0.0235610631010615,FALSE,TRUE,FALSE
4,1,0.316501373676813,0.511852025427453,0.82658574946976,0.192349482731491,0.193424539064703,0.209776629358251,1.64544957013808,2.64626209219624,3.94031380901892,0.0499385671358324,0.0040693365660539,4.06875446868904e-05,FALSE,TRUE,TRUE
5,1,0.713449038675577,0.809111450363766,0.646893811848203,0.186683466634563,0.201290576986347,0.199111472392371,3.82170446873139,4.01961911221828,3.2489027582169,6.62662302761685e-05,2.91461525441239e-05,0.000579255372607168,TRUE,TRUE,TRUE
6,1,0.247367734617019,0.392257138724661,0.71485927136158,0.205046377384928,0.211260100890662,0.206255009728453,1.20639895116334,1.85674974626502,3.46590016069298,0.113831850135194,0.0316733832050243,0.000264229738493937,FALSE,FALSE,TRUE
7,1,0.0471096366140717,0.365123333651018,0.33793110781881,0.208356272176526,0.2185588752408,0.196326204051258,0.226101360530001,1.67059486030361,1.7212735785926,0.410561293219918,0.0474008641908965,0.0426005957994805,FALSE,FALSE,FALSE
8,1,0.487995787345009,0.300402901967147,0.492236444823565,0.215683303860469,0.211621319914375,0.214736688473075,2.26255708536765,1.41953042391331,2.2922792016758,0.0118315030499003,0.0778722167526124,0.010944768595561,FALSE,FALSE,FALSE
9,1,0.232317048232085,0.336267701906191,0.304960825799751,0.194937743878814,0.184673674914302,0.19969529011465,1.19174995877919,1.82087513048212,1.52713078823574,0.11667965125798,0.034312920192673,0.0633642461979178,FALSE,FALSE,FALSE
10,1,0.166073886306988,0.200543105026964,0.26529270354714,0.227855078998358,0.212642878108291,0.215770164390353,0.728857513455669,0.943098150340287,1.22951523115678,0.233044413077625,0.172815350878481,0.109439345384886,FALSE,FALSE,FALSE
11,1,0.38913395975644,0.620385833267225,0.701900014079897,0.190383981584754,0.194808271327442,0.197510025204975,2.04394275462302,3.18459698368994,3.55374373200281,0.0204796013739116,0.000724778645855184,0.000189894547966363,TRUE,TRUE,TRUE
12,1,0.526718253047166,0.577221795985529,0.851996706825719,0.203162965720105,0.193575605411616,0.216460604505795,2.59258990033065,2.98189327502365,3.93603588408582,0.00476281408751777,0.00143235922553764,4.14192959053983e-05,TRUE,TRUE,TRUE
