ModelID,Scenario,seed,Global.Power,Conjunctive.Power,Disjunctive.Power,FWER,CI_95perc_Global.Power,CI_95perc_Conjunctive.Power,CI_95perc_Disjunctive.Power,CI_95perc_FWER,StagewiseRejection_Count,StagewiseRejection_Percentage,HoursTaken,Input,Method,SampleSize,alpha,TestStatCont,CommonStdDev,TestStatBin,FWERControl,nArms,nEps,lEpType,Arms.Mean,Arms.std.dev,Arms.Prop,Arms.alloc.ratio,EP.Corr,WI,G,test.type,info_frac,typeOfDesign,MultipleWinners,Selection,SelectionLook,SelectEndPoint,SelectionScale,SelectionCriterion,SelectionParmeter,KeepAssosiatedEps,ImplicitSSR,nSimulation,nSimulation_Stage2,Seed2,SummaryStat,plotGraphs,Parallel,UseCC,Matching.Pair,Test.Set,Compare.Set
20,"Fut=0.5, no CC, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC",2637,0.0281469,0,0,0.0281469,"(0.02667,0.02962)","(0,0)","(0,0)","(0.02667,0.02962)","26,258","0.0026,0.0258",0.40714401,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,2637,TRUE,FALSE,TRUE,FALSE,6,Orig,7
21,"Fut=0.5, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC",499,0.0277677,0,0,0.0277677,"(0.02631,0.02922)","(0,0)","(0,0)","(0.02631,0.02922)","25,258","0.0025,0.0258",0.315653452,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,TRUE,Selection,10000,1000,499,TRUE,FALSE,TRUE,FALSE,0,0,5
22,"Fut=0.25, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC",30953,0.0259178,0,0,0.0259178,"(0.02448,0.02736)","(0,0)","(0,0)","(0.02448,0.02736)","23,224","0.0023,0.0224",0.188604824,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.25,TRUE,Selection,10000,1000,30953,TRUE,FALSE,TRUE,FALSE,0,0,3
23,"Sel Best=1, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC",59079,0.0270477,0,0,0.0270477,"(0.02567,0.02843)","(0,0)","(0,0)","(0.02567,0.02843)","17,249","0.0017,0.0249",0.401565141,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,best,1,TRUE,Selection,10000,1000,59079,TRUE,FALSE,TRUE,FALSE,0,0,9
24,"Sel Best=2, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC",58217,0.0274309,0,0,0.0274309,"(0.02607,0.0288)","(0,0)","(0,0)","(0.02607,0.0288)","15,255","0.0015,0.0255",0.480485503,>>>,CER,400,0.025,NA,NA,UnPooled,CombinationTest,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,best,2,TRUE,Selection,10000,1000,58217,TRUE,FALSE,TRUE,FALSE,0,0,11
25,"No sel, Param, SS=400, all props=0.4, lk1=0.5, no CC, FWCtr=None",97827,0.0268803,0,0,0.0268803,"(0.02553,0.02823)","(0,0)","(0,0)","(0.02553,0.02823)","17,246","0.0017,0.0246",0.537369476,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,FALSE,NA,NA,NA,NA,NA,NA,None,10000,1000,97827,TRUE,FALSE,TRUE,FALSE,0,0,1
26,"Sel Best=1, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, no CC, FWCtr=None",70743,0.0259111,0,0,0.0259111,"(0.02457,0.02725)","(0,0)","(0,0)","(0.02457,0.02725)","18,219","0.0018,0.0219",0.437745532,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,delta,best,1,FALSE,None,10000,1000,70743,TRUE,FALSE,TRUE,FALSE,0,0,9
27,"Fut=0.5, Param, SS=400, all props=0.4, SSR=None, lk1=0.5, no CC, FWCtr=None",2402,0.02718,0,0,0.02718,"(0.02574,0.02862)","(0,0)","(0,0)","(0.02574,0.02862)","26,242","0.0026,0.0242",0.34460724,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,FALSE,None,10000,1000,2402,TRUE,FALSE,TRUE,FALSE,7,Orig,5
28,"Fut=0.5, no CC, FWCtr=None, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC, FWCtr=None",2637,0.0272943,0,0,0.0272943,"(0.02585,0.02874)","(0,0)","(0,0)","(0.02585,0.02874)","26,245","0.0026,0.0245",0.452448414,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.75,TRUE,Selection,10000,1000,2637,TRUE,FALSE,TRUE,FALSE,8,Orig,7
29,"Fut=0.5, Param, SS=400, all props=0.4, SSR=Sel, lk1=0.5, no CC, FWCtr=None",499,0.0270243,0,0,0.0270243,"(0.0256,0.02845)","(0,0)","(0,0)","(0.0256,0.02845)","25,247","0.0025,0.0247",0.345712345,>>>,CER,400,0.025,NA,NA,UnPooled,None,3,1,list('EP1' = 'Binary'),NA,NA,"list('EP1' = c(0.4, 0.4, 0.4))","c(1,1,1)",matrix(1),"c(rep(1/2,2))","rbind(H1=c(0,1), H2=c(1,0))",Parametric,"c(0.5,1)",asOF,FALSE,TRUE,1,1,pvalue,threshold,0.5,TRUE,Selection,10000,1000,499,TRUE,FALSE,TRUE,FALSE,9,Orig,5
