Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Mean_0_Endpoint2,Mean_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
644,0,-0.00426355978777783,0.0103919172814369,0.0146554770692148,0.00720114370595122,2.03515964514124,0.0213597562451031,-0.0026168165551714,0.0147832399319363,0.0174000564871077,0.00524471053299305,3.317639053223,0.000510176072311408,0.00956803247238755,0.0118653346622307,0.00229730218984312,0.017065394997294,0.134617580794784,0.446502557895898,0.0427195124902063,0.00153052821693423,0.446502557895898,0.446502557895898,150,150,300,0,1,0,1,1,1,0,0,1
645,0,-0.00402409949786483,0.00196161315994718,0.00598571265781201,0.00720891995428873,0.830320310915782,0.203511203568016,0.00108094796939304,0.00584557617936823,0.00476462820997519,0.0053560515471835,0.889578482955544,0.187204909071321,0.00133658022714029,0.00784695685414941,0.00651037662700911,0.0178485147041242,0.364757333309353,0.357775635999892,0.561614727213965,0.561614727213965,0.561614727213965,0.561614727213965,150,150,300,0,0,0,1,1,1,0,0,0
646,0,8.7785455614204E-05,0.00382846210136023,0.00374067664574603,0.00626923742798377,0.596671714656858,0.275589795465645,0.000702314194830412,0.00829647879986554,0.00759416460503513,0.00556792927892904,1.36391182872492,0.086812306017617,0.0152077507536972,0.0102635778565354,-0.00494417289716185,0.0172504192834443,-0.28661175220865,0.612695610486998,0.55117959093129,0.260436918052851,0.612695610486999,0.612695610486999,150,150,300,0,0,0,1,1,1,0,0,0
647,0,-0.00112238627905184,0.0199223651511812,0.021044751430233,0.00644510781154596,3.26522876662091,0.000610625499628759,0.00436310113703066,0.0173638830057493,0.0130007818687186,0.00515916757847608,2.51993789132913,0.00613005215011775,-0.0118319551071892,0.0187082087829758,0.030540163890165,0.0175070730220105,1.74444716439857,0.0410560692715982,0.00183187649888628,0.0122601043002355,0.0410560692715983,0.0410560692715983,150,150,300,1,1,0,1,1,1,0,0,1
648,0,0.00321723926132932,0.0152515002565485,0.0120342609952192,0.00708450020493034,1.69867466258863,0.0452121095230753,0.000692300179752342,0.0137019292969274,0.0130096291171751,0.0057501855612878,2.26247118088855,0.0121940866963088,0.00993524962458437,0.0248704772265159,0.0149352276019315,0.0182308238528032,0.819229439246382,0.206655103620192,0.0904242190461507,0.0365822600889266,0.206655103620192,0.206655103620192,150,150,300,0,0,0,1,1,1,0,0,0
649,0,-0.00707898022880631,0.00700968719184038,0.0140886674206467,0.00691705710355106,2.03680079689004,0.0212768140101385,0.00842368153544519,0.0120883955739577,0.00366471403851249,0.00524063497320322,0.699288169706754,0.242458703428515,0.00297287184248297,0.00847798893897817,0.0055051170964952,0.0169837662130618,0.324139947961681,0.373029737052969,0.0638304420304155,0.48491740685703,0.48491740685703,0.48491740685703,150,150,300,0,0,0,1,1,1,0,0,0
650,0,0.00278855967062653,0.00630563969922274,0.00351708002859621,0.00735381263870852,0.478266200322161,0.316405711024475,-0.00324428826711729,0.0157776071121379,0.0190218953792552,0.0057296845446075,3.31988528009935,0.000506235501903429,-0.000141073083296633,0.0170785949313781,0.0172196680146747,0.0172692209497005,0.997130563378038,0.15975505510184,0.31951011020368,0.00151870650571029,0.31951011020368,0.31951011020368,150,150,300,0,1,0,1,1,1,0,0,1
651,0,0.00325828406264004,0.0191590146230118,0.0159007305603717,0.00678727736470058,2.34272591290708,0.00990062070567777,-0.00135939739162984,0.0183891766702608,0.0197485740618907,0.00540003736621413,3.65711803874721,0.000150736683712127,-0.00456942266046684,0.00362752663819891,0.00819694929866575,0.017192905241595,0.47676347792779,0.316939984101511,0.0198012414113556,0.000452210051136382,0.316939984101511,0.316939984101511,150,150,300,1,1,0,1,1,1,0,0,1
652,0,0.00161315264967618,0.0160492734780923,0.0144361208284161,0.00687043489348126,2.10119461900633,0.018231761872356,-0.00129148478586632,0.0187402417994488,0.0200317265853151,0.00511747308535476,3.91437849329234,5.6187883935244E-05,-0.00283012906048243,0.0139939491746258,0.0168240782351082,0.0179450838683618,0.937531323816772,0.174622258537464,0.036463523744712,0.000168563651805731,0.174622258537464,0.174622258537464,150,150,300,0,1,0,1,1,1,0,0,1
653,0,-0.000459375709622182,0.00509812645782215,0.00555750216744434,0.00748106971050833,0.742875335012313,0.229071182463604,0.00190349466600968,0.0221587128309554,0.0202552181649457,0.00577024607192565,3.51028672130548,0.000258407426372953,0.00177661654214748,0.0190975647382782,0.0173209481961307,0.0183415042338299,0.944358105818999,0.172875852019426,0.345751704038852,0.00077522227911886,0.345751704038852,0.345751704038852,150,150,300,0,1,0,1,1,1,0,0,1
654,0,0.00570808731093686,0.00433105981407527,-0.00137702749686159,0.00682044264363901,-0.20189708627575,0.579932532780528,0.00337674708252546,0.0167974394734923,0.0134206923909668,0.00558641545301345,2.40237993465512,0.00845021349181285,0.00857041407889438,0.0112344033323102,0.00266398925341583,0.0181642795813887,0.146660881400735,0.44174943152526,0.88349886305052,0.0253506404754386,0.88349886305052,0.88349886305052,150,150,300,0,0,0,1,1,1,0,0,0
655,0,-0.00722920686677236,0.00372311470912581,0.0109523215758982,0.00660572494323933,1.65800448399042,0.0491843931063064,-0.0039857155079671,0.0110742436533714,0.0150599591613385,0.00563377491308269,2.67315599108627,0.00396410496029209,0.00498214704026725,0.00426774677785434,-0.000714400262412904,0.0169055887150798,-0.0422582303670772,0.516839428812395,0.0983687862126129,0.0118923148808763,0.516839428812396,0.516839428812396,150,150,300,0,1,0,1,1,1,0,0,1
