"","SimID","LookID","Delta1","Delta2","Delta3","StdError1","StdError2","StdError3","TestStat1","TestStat2","TestStat3","RawPvalues1","RawPvalues2","RawPvalues3","RejStatus1","RejStatus2","RejStatus3"
"1",1,1,0.0116919719090882,0.0168489867581563,0.0126367967047554,0.00702057786742841,0.00536486908590761,0.0174204963056573,1.66538597390002,3.14061470808581,0.725398202383684,0.0484711715439152,0.000929407434192786,0.234388513879522,FALSE,TRUE,FALSE
"2",2,1,0.0202139362784229,0.00897026211374695,0.00742034082503337,0.0067117488559955,0.00557514141736682,0.0161540186939028,3.01172417385167,1.60897481197592,0.459349525690108,0.00141247804649947,0.0543439161718923,0.323159044095587,TRUE,FALSE,FALSE
"3",3,1,-0.000381244142903253,0.0232342724807254,-0.0140396330743136,0.00720121401295804,0.00564588907051316,0.0175305139579484,-0.0529416487577279,4.11525486784203,-0.800868309280116,0.521093004341959,2.50528365710601e-05,0.788075958580631,FALSE,TRUE,FALSE
"4",4,1,0.0222966065426991,0.0131782730496914,-1.04210690886584e-05,0.00671808672749043,0.0053089494372057,0.0172207275200954,3.31889233454837,2.48227511027636,-0.000605146854364764,0.000508965485794377,0.0068026675785281,0.500241216204159,TRUE,TRUE,FALSE
"5",5,1,0.0110238041609106,0.0150456878168579,0.0263276962669764,0.00740732517667218,0.00527403166509498,0.0185453332197932,1.48823008278721,2.85278678101888,1.41963996844646,0.0688791968089072,0.00231904922639758,0.0783788719907446,FALSE,TRUE,FALSE
"6",6,1,0.0111032302631356,0.0175386977650493,0.0367019187391863,0.00663391299585534,0.00566738863089914,0.0177205062786864,1.6737075493864,3.09467003364241,2.07115520075914,0.047618674865211,0.00107870193462334,0.0196038590311989,FALSE,TRUE,FALSE
"7",7,1,0.0131203254070968,0.00394251803082442,0.0106383781916711,0.00653475499890006,0.00570870734870534,0.0181393713626973,2.00777617665929,0.690614843256685,0.586479982076354,0.0227847434093008,0.24517349046179,0.279003055815528,FALSE,FALSE,FALSE
"8",8,1,0.00821728842762269,0.00954163816206527,0.00383472055154317,0.00717642116477327,0.00543403769021959,0.0179498981818626,1.1450398797605,1.75590209453989,0.213634668714608,0.126555708423326,0.0400662145062709,0.415489271291176,FALSE,FALSE,FALSE
"9",9,1,0.0152412239005368,0.0098384160853559,0.0136814639859979,0.00705574963018896,0.00528948105931344,0.0187519145024762,2.16011404873626,1.85999646752358,0.729603581767144,0.0157818331622213,0.0319355849984169,0.233103775331488,FALSE,FALSE,FALSE
"10",10,1,-0.00315903490547079,0.0066076748359517,0.0136616079899444,0.00716980155210238,0.00573317228171084,0.0172286326601755,-0.440602837123779,1.15253380000991,0.792959502904928,0.670089466806298,0.125012741436825,0.214217201391418,FALSE,FALSE,FALSE
"11",11,1,0.00886446632347099,0.01619858065205,0.0368918865279897,0.00661073199867104,0.00528827138957517,0.0173755276479428,1.34092054030522,3.06311447706379,2.12320956666646,0.0904854386347789,0.00119526605674669,0.0172801355321732,FALSE,TRUE,FALSE
"12",12,1,0.00821042365806015,0.0136956532400599,0.0263820458876122,0.00709285957790269,0.00524039730503996,0.0157796328973436,1.15756185046144,2.6134761245847,1.67190492068123,0.123989627664506,0.00471116341985744,0.0477963467988486,FALSE,TRUE,FALSE
"13",13,1,0.0206069641589382,0.0199889611726304,0.0291778796212423,0.00727962170610678,0.00568004984404895,0.0182904622810982,2.83077404168561,3.51915242320859,1.59525107527738,0.00248184954713748,0.000250618523440549,0.0558616048024829,TRUE,TRUE,FALSE
"14",14,1,0.0106277575719098,0.0237682504411167,0.0236409601133642,0.00677958687119852,0.00535334018432599,0.0172560433085039,1.56761138603583,4.43989166066965,1.37001047637112,0.0590201173133457,6.35323963882328e-06,0.0858574635053422,FALSE,TRUE,FALSE
"15",15,1,0.017331551843704,0.0217147937634291,0.0248448947604317,0.00678341507162292,0.00548198829069151,0.0159923083278381,2.55498914052998,3.96111640739932,1.55355276118481,0.00556224020038432,4.67303521547446e-05,0.060678027504654,TRUE,TRUE,FALSE
"16",16,1,0.0148336772412154,0.0193690047489655,0.0334951958878466,0.00667867926260133,0.00527188760895723,0.0178993448563483,2.22104950065198,3.67401700978155,1.87130848400672,0.0135508349277579,0.00014150928899137,0.0311476803117523,FALSE,TRUE,FALSE
"17",17,1,0.0156761836878196,0.0156208495924048,-0.00891524619356936,0.00685903785993366,0.00527643020282818,0.0182081070470399,2.28547851869872,2.96049582614245,-0.489630589854133,0.0114970473453626,0.00165910929658719,0.687612008202431,TRUE,TRUE,FALSE
"18",18,1,0.0117873581146621,0.00585423663437618,0.0262479421305528,0.00695270437380828,0.00531510778616785,0.0169756234644848,1.695363053126,1.10143328600247,1.5462137332079,0.0455272992248948,0.135801474738364,0.0615755335693198,FALSE,FALSE,FALSE
"19",19,1,0.016831846160168,0.00740097132812683,-0.000174426848964884,0.00670216082123135,0.00540649253704335,0.0185138554273677,2.51140588970164,1.3689043825397,-0.00942142222343603,0.00627881063176006,0.0860352891223823,0.503755385452004,TRUE,FALSE,FALSE
"20",20,1,0.0220605959544954,0.00988906161358194,0.0593694312685787,0.00732504482528372,0.00548161718168528,0.0175544410582256,3.01166702466437,1.80404090358999,3.38201775104424,0.00141233934481377,0.0361312191181413,0.000407834398318929,TRUE,FALSE,TRUE
"21",21,1,0.0199510757089523,0.0248228349756176,0.0168085422496419,0.00674959009452716,0.0056870410748991,0.0174964842396168,2.95589442166708,4.36480669801703,0.960681129959972,0.00168333534815412,8.82949007197098e-06,0.168746983684961,TRUE,TRUE,FALSE
"22",22,1,0.021408896200451,0.0156761087397339,0.00744411145071194,0.00677832855686551,0.00577813475587098,0.0174660862160508,3.15843294122512,2.71300504437109,0.426203750435574,0.000875044373360723,0.00352771508190464,0.335133537160984,TRUE,TRUE,FALSE
"23",23,1,0.000997326702989737,0.0119961213871858,0.0047528863545635,0.00708685581080784,0.0058735723090173,0.0154085357435391,0.140729080655029,2.04238932561858,0.308458015328058,0.444089524183914,0.0209964254215222,0.378975040694987,FALSE,FALSE,FALSE
"24",24,1,0.0221702883380248,0.0222634932321227,0.00468265949494003,0.00709271512769098,0.0049737281589604,0.0178116918029972,3.12578299549475,4.47621834579237,0.262898075417635,0.000974111496714003,5.42681783466392e-06,0.396406638413123,TRUE,TRUE,FALSE
"25",25,1,0.00681374233994562,0.0223187423496598,0.0409749976439846,0.00711267470744714,0.00528204905076366,0.0177663120440432,0.957971876994667,4.22539475403641,2.3063310799904,0.169429364441258,1.58997457009313e-05,0.0108890751377941,FALSE,TRUE,TRUE
"26",26,1,0.00887733137458029,0.0192979449950366,0.0159415003318024,0.00680583531669059,0.00542133500223751,0.0159659534917564,1.3043705822281,3.55962968292347,0.998468418440111,0.0965654652781532,0.000216565557759507,0.159431164578536,FALSE,TRUE,FALSE
"27",27,1,0.00582764930107658,0.0164112301345927,0.00849179012566103,0.00674168026330894,0.00548031526499604,0.0164226911586654,0.864420897086013,2.99457774617726,0.517076649838863,0.194028340480018,0.00148976900287279,0.302743106587961,FALSE,TRUE,FALSE
"28",28,1,0.00346803156000406,0.0106545753206351,-0.000770432064036739,0.00666669463058397,0.00600469145304374,0.0178280939809986,0.520202551965437,1.77437515381983,-0.0432144942054869,0.301654322894866,0.0385251119018981,0.517220156136772,FALSE,FALSE,FALSE
"29",29,1,0.0018279117776577,0.0161243456922856,-0.0141894609008757,0.00680895586553625,0.00581983720540565,0.0154236763302587,0.268456987202654,2.77058363029618,-0.919979166901887,0.394266662446165,0.00297660177147574,0.820829784090402,FALSE,TRUE,FALSE
"30",30,1,0.0119095960632365,0.00507888425827139,0.0205107408599608,0.00742153254856883,0.00550275944088249,0.0179186429166988,1.60473540812445,0.922970431986915,1.14465927778751,0.0548056288672506,0.17838590506534,0.126637527318265,FALSE,FALSE,FALSE
"31",31,1,0.0128753156634781,0.0213690843142561,0.0134472375009947,0.00701475315868159,0.00575440473967213,0.0183538501894639,1.83546239934948,3.71351778002908,0.732665754715276,0.0337168110280861,0.000121972928886938,0.232169100328547,FALSE,TRUE,FALSE
"32",32,1,0.0109084895653431,0.0071371867467915,-0.00107239424021529,0.00629967171552936,0.00584304662175236,0.0166736103032488,1.73159651136305,1.22148379241428,-0.0643168588392845,0.0422081273561807,0.111434166477749,0.525619474041983,FALSE,FALSE,FALSE
"33",33,1,0.00206565935392251,0.0149400333933079,0.0148845170915254,0.00707385020932308,0.00574099065108461,0.0181513870174414,0.292013442863131,2.6023441425541,0.820020920562328,0.385239765813723,0.0048616572324558,0.206434246387479,FALSE,TRUE,FALSE
