Sim_Index,Return_Code,Mean_0_Endpoint1,Mean_1_Endpoint1,Delta_1_Endpoint1,StdError_1_Endpoint1,Test_Stat_1_Endpoint1,pval_1_Endpoint1,Prop_0_Endpoint2,Prop_1_Endpoint2,Delta_1_Endpoint2,StdError_1_Endpoint2,Test_Stat_1_Endpoint2,pval_1_Endpoint2,Mean_0_Endpoint3,Mean_1_Endpoint3,Delta_1_Endpoint3,StdError_1_Endpoint3,Test_Stat_1_Endpoint3,pval_1_Endpoint3,Adjpval_1,Adjpval_2,Adjpval_3,Adjpval,SampleSize_0,SampleSize_1,Tot_SampleSize,RejFlag_1_Endpoint1,RejFlag_1_Endpoint2,RejFlag_1_Endpoint3,IsNonNull_1_Endpoint1,IsNonNull_1_Endpoint2,IsNonNull_1_Endpoint3,FWERFlag,DisjnPowFlag,ConPowFlag
11,0,0.0112186282055828,0.00426640398607645,-0.00695222421950634,0.0109425232273079,-0.635340138201083,0.736656330203652,0.26,0.4,0.14,0.09404254356407,1.4886879352069,0.0682847817372672,0.000652251729490548,0.0125136199724643,0.0118613682429738,0.0097862375096707,1.21204581753227,0.114204481615711,0.736656330203653,0.204854345211802,0.228408963231421,0.736656330203653,50,50,100,0,0,0,1,1,1,0,0,0
12,0,-0.0220623832475243,0.003657789902408,0.0257201731499324,0.0126211288415694,2.03786630124711,0.0221290325679724,0.2,0.4,0.2,0.0916515138991168,2.18217890235992,0.0145481658706261,-0.00893901562584767,0.0244300355673465,0.0333690511931942,0.00947106012335715,3.52326463548687,0.000324660368805518,0.0290963317412523,0.0290963317412523,0.000973981106416556,0.0290963317412523,50,50,100,0,0,1,1,1,1,0,0,1
13,0,0.0109200637418558,0.0121700563190423,0.00124999257718659,0.0121008252901409,0.103298126137315,0.45896872784223,0.3,0.4,0.1,0.0953939201416946,1.04828483672192,0.147253696840055,0.0124657646486968,0.00741475395794599,-0.0050510106907508,0.00970936707361112,-0.520220386401791,0.69795838793001,0.917937455684461,0.441761090520165,0.917937455684461,0.917937455684461,50,50,100,0,0,0,1,1,1,0,0,0
14,0,0.0154323530076749,0.0123367970073606,-0.00309555600031426,0.010635754934271,-0.29105183594816,0.614186612411,0.18,0.32,0.14,0.0866025403784439,1.61658075373095,0.0529844045636011,0.00891614734512209,0.0117527354326163,0.00283658808749417,0.0094830112320173,0.299123139063365,0.382739755695043,0.765479511390087,0.158953213690803,0.765479511390087,0.765479511390087,50,50,100,0,0,0,1,1,1,0,0,0
15,0,0.0116846669663924,0.011728780200531,4.4113234138556E-05,0.0128573919488909,0.00343096285109058,0.498634733776563,0.2,0.38,0.18,0.0907524104363074,1.98341839224567,0.0236603571906882,0.0039001718776041,0.0109371117682179,0.00703693989061385,0.00952116774434431,0.739083700609505,0.230811369843155,0.498634733776564,0.0709810715720645,0.461622739686311,0.498634733776564,50,50,100,0,0,0,1,1,1,0,0,0
16,0,-0.00185069397741807,0.0180253435780239,0.0198760375554419,0.0110627629620485,1.79666125213276,0.0377350716217485,0.14,0.48,0.34,0.0924986486387774,3.67572937554749,0.000118585418078743,0.00474554081701295,0.016789613560801,0.012044072743788,0.00853175931979292,1.41167516479829,0.0806064225677516,0.0754701432434971,0.000355756254236228,0.0806064225677517,0.0806064225677517,50,50,100,0,1,0,1,1,1,0,0,1
17,0,0.000824896687701879,0.0148495747882511,0.0140246781005492,0.0123280971111155,1.13761904810955,0.129026663807358,0.12,0.46,0.34,0.0907524104363074,3.74645696313071,8.9674878014256E-05,-0.00753438093357198,0.0242729162615992,0.0318072971951712,0.0101052364129405,3.14760544883834,0.00109064662271186,0.129026663807359,0.00026902463404277,0.00218129324542371,0.129026663807359,50,50,100,0,1,1,1,1,1,0,0,1
18,0,-0.00764283846046665,0.00831998594367084,0.0159628244041375,0.0115800059006606,1.37848154319394,0.0855967161406985,0.2,0.32,0.12,0.0877268487978452,1.36788225776266,0.0856744670960986,-0.00784247722522635,0.00929805477870832,0.0171405320039347,0.00829634146349426,2.06603502029862,0.0207317771982272,0.171193432281397,0.171193432281397,0.0621953315946816,0.171193432281397,50,50,100,0,0,0,1,1,1,0,0,0
19,0,-0.00592262884585852,0.000932219289995736,0.00685484813585425,0.0106908562784418,0.641187942043247,0.261448642253689,0.18,0.38,0.2,0.0897997772825746,2.22717701593687,0.0129677227936772,-0.00344061229085703,0.0239060753827271,0.0273466876735842,0.010816019726734,2.52835038808142,0.00652854264530744,0.26144864225369,0.0259354455873544,0.0195856279359224,0.26144864225369,50,50,100,0,0,1,1,1,1,0,0,1
20,0,-0.00319697393233319,-0.00564178111675959,-0.0024448071844264,0.0146893570766751,-0.166433913456188,0.565920803462022,0.3,0.44,0.14,0.0965608616365865,1.44986278733613,0.0735483931523607,0.00417238610521199,0.00989504116656361,0.00572265506135162,0.00857960517591692,0.667006807890788,0.253167622859675,0.565920803462023,0.220645179457082,0.506335245719351,0.565920803462023,50,50,100,0,0,0,1,1,1,0,0,0
21,0,0.0142724162222141,0.00511730358409775,-0.00915511263811635,0.0122959359428794,-0.744564112943198,0.770841492882566,0.18,0.26,0.08,0.0828492607088319,0.965609099170535,0.167119910233157,-0.00122465205173417,0.00368380962382462,0.00490846167555879,0.00971173795369161,0.505415374566711,0.307200982756461,0.770841492882567,0.501359730699472,0.614401965512922,0.770841492882567,50,50,100,0,0,0,1,1,1,0,0,0
22,0,0.0118015639064354,0.0145380714356399,0.00273650752920447,0.0122111071952093,0.224099869525187,0.411573067114228,0.26,0.42,0.16,0.0947417542586161,1.688801323683,0.0456287550471818,0.016712114181302,0.0120227182803498,-0.00468939590095217,0.00984986270910275,-0.476087437911035,0.682464124156668,0.823146134228457,0.136886265141545,0.823146134228457,0.823146134228457,50,50,100,0,0,0,1,1,1,0,0,0
23,0,-0.00280697660320308,0.0110836467300654,0.0138906233332685,0.00978176104032604,1.42005343168815,0.0793828094177191,0.1,0.46,0.36,0.0897997772825746,4.00891862868637,3.0498714448268E-05,0.0043948742395129,0.0158516043511354,0.0114567301116225,0.00885976922855438,1.29311834383883,0.0995050824040602,0.158765618835438,9.1496143344805E-05,0.158765618835438,0.158765618835438,50,50,100,0,1,0,1,1,1,0,0,1
24,0,-0.00274186295145118,0.00588523010955636,0.00862709306100754,0.0130930869943215,0.658904432907926,0.25575117449239,0.24,0.5,0.26,0.0965608616365865,2.69260231933853,0.00354483888402513,-0.00516447072326368,0.0178206780989032,0.0229851488221669,0.00901631666859413,2.5492836672684,0.00617265835268199,0.25575117449239,0.0106345166520754,0.012345316705364,0.25575117449239,50,50,100,0,1,1,1,1,1,0,0,1
25,0,-0.00417949293869815,0.00989447463124443,0.0140739675699426,0.0118105075641594,1.19164798747956,0.118138588969923,0.14,0.32,0.18,0.0841665016500033,2.13861805434791,0.0162333070504032,0.00361347945400936,0.0151649366282247,0.0115514571742154,0.00976466790670881,1.18298515470034,0.119838496167299,0.236277177939846,0.0486999211512095,0.236277177939846,0.236277177939846,50,50,100,0,0,0,1,1,1,0,0,0
26,0,0.00390976129645187,0.0165997765611402,0.0126900152646884,0.01049094854044,1.20961562396112,0.114668157515761,0.14,0.38,0.24,0.0877268487978452,2.73576451552532,0.00311177724336409,-0.00699467965072126,0.0200871451615685,0.0270818248122897,0.00898124564050503,3.01537513795991,0.00163426309427717,0.114668157515761,0.00622355448672818,0.0049027892828315,0.114668157515761,50,50,100,0,1,1,1,1,1,0,0,1
27,0,0.00744156913328551,0.0107054275294322,0.00326385839614671,0.0112368102057455,0.290461290738706,0.386038561730643,0.24,0.44,0.2,0.0947417542586161,2.11100165460375,0.0173860848219682,0.00452543148867032,0.0235174582395224,0.0189920267508521,0.00975860549982081,1.94618244903955,0.0272484578847301,0.386038561730644,0.0521582544659048,0.0544969157694602,0.386038561730644,50,50,100,0,0,0,1,1,1,0,0,0
28,0,0.0030698568112101,0.00969094018187399,0.00662108337066388,0.0109879321310978,0.602577745445391,0.274090727466487,0.14,0.34,0.2,0.0854166260162505,2.34146452895423,0.00960412554850698,-0.000865061842136634,0.0196255489368418,0.0204906107789784,0.00957622952800917,2.13973680549805,0.0174296254946493,0.274090727466488,0.028812376645521,0.0348592509892987,0.274090727466488,50,50,100,0,0,0,1,1,1,0,0,0
